station,amp,phi,date,timestamp
DHO,1.1532252,-121.96902084350586,06 03 2011 08:02:36.000,155000
ICV,6.2800293,-278.52999114990234,06 03 2011 08:02:36.000,155000
DHO,1.1565882,-160.2362289428711,06 03 2011 08:02:37.000,156000
ICV,6.1457853,-275.8082275390625,06 03 2011 08:02:37.000,156000
DHO,1.1683491,-88.34147644042969,06 03 2011 08:02:38.000,157000
ICV,6.3005047,-271.84539794921875,06 03 2011 08:02:38.000,157000
DHO,1.1622473,-128.0587158203125,06 03 2011 08:02:39.000,158000
ICV,6.419634,-269.98040771484375,06 03 2011 08:02:39.000,158000
DHO,1.1500373,-109.12884521484375,06 03 2011 08:02:40.000,159000
ICV,6.250396,-264.95987701416016,06 03 2011 08:02:40.000,159000
DHO,1.1799502,-74.39337158203125,06 03 2011 08:02:41.000,160000
ICV,6.223479,-278.3161926269531,06 03 2011 08:02:41.000,160000
DHO,1.1707819,-113.908447265625,06 03 2011 08:02:42.000,161000
ICV,6.304968,-275.98331451416016,06 03 2011 08:02:42.000,161000
DHO,1.1859301,-79.47016906738281,06 03 2011 08:02:43.000,162000
ICV,6.3503313,-274.99523162841797,06 03 2011 08:02:43.000,162000
DHO,1.15536,-80.44896697998047,06 03 2011 08:02:44.000,163000
ICV,5.9955993,-274.7278366088867,06 03 2011 08:02:44.000,163000
DHO,1.1351962,-124.55708694458008,06 03 2011 08:02:45.000,164000
ICV,6.2897067,-274.54976654052734,06 03 2011 08:02:45.000,164000
DHO,1.1325972,-93.05006408691406,06 03 2011 08:02:46.000,165000
ICV,6.2284946,-277.43892669677734,06 03 2011 08:02:46.000,165000
DHO,1.1564611,-120.30613327026367,06 03 2011 08:02:47.000,166000
ICV,6.0527396,-279.52001190185547,06 03 2011 08:02:47.000,166000
DHO,1.1047622,-104.39543914794922,06 03 2011 08:02:48.000,167000
ICV,6.166736,-282.6472854614258,06 03 2011 08:02:48.000,167000
DHO,1.170971,-66.69218444824219,06 03 2011 08:02:49.000,168000
ICV,6.2460213,-281.45587158203125,06 03 2011 08:02:49.000,168000
DHO,1.1253203,-69.9542236328125,06 03 2011 08:02:50.000,169000
ICV,6.073332,-268.3676986694336,06 03 2011 08:02:50.000,169000
DHO,1.1165963,-88.21304321289062,06 03 2011 08:02:51.000,170000
ICV,6.12607,-275.05274963378906,06 03 2011 08:02:51.000,170000
DHO,1.1578215,-26.935523986816406,06 03 2011 08:02:52.000,171000
ICV,6.130216,-281.12503814697266,06 03 2011 08:02:52.000,171000
DHO,1.1604882,-55.935791015625,06 03 2011 08:02:53.000,172000
ICV,6.402301,-283.1389617919922,06 03 2011 08:02:53.000,172000
DHO,1.4186172,-44.73457336425781,06 03 2011 08:02:54.000,173000
ICV,6.2442183,-281.5469665527344,06 03 2011 08:02:54.000,173000
DHO,2.3738468,-45.69392395019531,06 03 2011 08:02:55.000,174000
ICV,6.275471,-280.9994812011719,06 03 2011 08:02:55.000,174000
DHO,2.8971686,-46.884796142578125,06 03 2011 08:02:56.000,175000
ICV,6.203957,-273.09973907470703,06 03 2011 08:02:56.000,175000
DHO,2.9173746,-49.0052490234375,06 03 2011 08:02:57.000,176000
ICV,6.3481345,-278.6990203857422,06 03 2011 08:02:57.000,176000
DHO,2.7590597,-49.0316162109375,06 03 2011 08:02:58.000,177000
ICV,6.2867274,-279.03890228271484,06 03 2011 08:02:58.000,177000
DHO,3.0118713,-46.05506896972656,06 03 2011 08:02:59.000,178000
ICV,6.1235213,-276.6337356567383,06 03 2011 08:02:59.000,178000
DHO,4.3748407,-47.121124267578125,06 03 2011 08:03:00.000,179000
ICV,6.1212974,-279.6934814453125,06 03 2011 08:03:00.000,179000
DHO,5.3613615,-44.518341064453125,06 03 2011 08:03:01.000,180000
ICV,6.2269197,-284.9084167480469,06 03 2011 08:03:01.000,180000
DHO,5.3958716,-46.52874755859375,06 03 2011 08:03:02.000,181000
ICV,6.167384,-274.7110061645508,06 03 2011 08:03:02.000,181000
DHO,5.4055963,-45.27839660644531,06 03 2011 08:03:03.000,182000
ICV,6.056065,-285.20581817626953,06 03 2011 08:03:03.000,182000
DHO,5.2934647,-47.02960205078125,06 03 2011 08:03:04.000,183000
ICV,6.2251577,-277.58868408203125,06 03 2011 08:03:04.000,183000
DHO,5.450265,-45.97731018066406,06 03 2011 08:03:05.000,184000
ICV,6.3688073,-291.53958892822266,06 03 2011 08:03:05.000,184000
DHO,5.8562784,-46.71246337890625,06 03 2011 08:03:06.000,185000
ICV,6.228942,-288.05350494384766,06 03 2011 08:03:06.000,185000
DHO,6.1411953,-45.62971496582031,06 03 2011 08:03:07.000,186000
ICV,6.264436,-284.34346771240234,06 03 2011 08:03:07.000,186000
DHO,6.1650405,-45.96629333496094,06 03 2011 08:03:08.000,187000
ICV,6.1677175,-283.8099594116211,06 03 2011 08:03:08.000,187000
DHO,6.168424,-44.69486999511719,06 03 2011 08:03:09.000,188000
ICV,6.175972,-286.87230682373047,06 03 2011 08:03:09.000,188000
DHO,6.1229963,-45.69807434082031,06 03 2011 08:03:10.000,189000
